No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
654,"Imperatore et al. (2017), C1",Control,Bare,None,D,Italy,S500C,16,200,Control,Control,N/A,0,0,0,0,0,0,112.38,4.721885986
655,"Imperatore et al. (2017), C2",Control,Bare,None,D,Italy,S500C,16,200,Control,Control,N/A,0,0,0,0,0,0,105.49,4.658616162
656,"Imperatore et al. (2017), C3",Control,Bare,None,D,Italy,S500C,16,200,Control,Control,N/A,0,0,0,0,0,0,107.7,4.679386724
657,"Imperatore et al. (2017), C4",Control,Bare,None,D,Italy,S500C,16,200,Control,Control,N/A,0,0,0,0,0,0,105.49,4.658616162
658,"Imperatore et al. (2017), C5",Control,Bare,None,D,Italy,S500C,16,200,Control,Control,N/A,0,0,0,0,0,0,105.74,4.660983251
659,"Imperatore et al. (2017), C2","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,125,3,4.4,300,0.176,97.63,4.581184823
660,"Imperatore et al. (2017), C3","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,125,3,5.3,300,0.212,93.44,4.537319519
661,"Imperatore et al. (2017), C4","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,190,3,7.9,300,0.316,96.39,4.568402462
662,"Imperatore et al. (2017), C5","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,190,3,8.5,300,0.34,95.41,4.558172914
663,"Imperatore et al. (2017), C6","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,9,300,0.36,94.18,4.545207845
664,"Imperatore et al. (2017), C7","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,9,300,0.36,78.93,4.368561384
665,"Imperatore et al. (2017), C7","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,10.72,300,0.429,92.71,4.529422409
666,"Imperatore et al. (2017), C8","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,10.8,300,0.432,76.23,4.333755086
667,"Imperatore et al. (2017), C9","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,10.9,300,0.436,91.97,4.521429817
668,"Imperatore et al. (2017), C10","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,11,300,0.44,90.73,4.507888063
669,"Imperatore et al. (2017), C11","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,250,3,11,300,0.44,88.28,4.480490926
670,"Imperatore et al. (2017), C12","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,315,3,11.55,300,0.462,77.71,4.352919605
671,"Imperatore et al. (2017), C13","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,315,3,12.2,300,0.488,77.21,4.346528982
672,"Imperatore et al. (2017), C14","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,315,3,12.48,300,0.499,75.74,4.327306422
673,"Imperatore et al. (2017), C15","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,315,3,12.6,300,0.504,91.48,4.516065711
674,"Imperatore et al. (2017), C16","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,500,3,19,300,0.76,81.15,4.396299294
675,"Imperatore et al. (2017), C17","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,500,3,19,300,0.76,75.49,4.324000197
676,"Imperatore et al. (2017), C18","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,630,3,24,300,0.96,69.34,4.239079625
677,"Imperatore et al. (2017), C19","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,16,200,IC,External copper plate,Chemical,100,630,3,29,300,1.16,62.71,4.138441189
678,"Imperatore et al. (2017), C20","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,29,300,1.45,60.25,4.098502572
679,"Imperatore et al. (2017), C21","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,36,300,1.8,50.16,3.915217896
680,"Imperatore et al. (2017), D1",Control,Bare,None,D,Italy,S500C,20,200,Control,Control,N/A,0,0,0,0,0,0,170.27,5.137385412
681,"Imperatore et al. (2017), D2",Control,Bare,None,D,Italy,S500C,20,200,Control,Control,N/A,0,0,0,0,0,0,168.49,5.126876401
682,"Imperatore et al. (2017), D3",Control,Bare,None,D,Italy,S500C,20,200,Control,Control,N/A,0,0,0,0,0,0,164.95,5.105642398
683,"Imperatore et al. (2017), D4",Control,Bare,None,D,Italy,S500C,20,200,Control,Control,N/A,0,0,0,0,0,0,159.98,5.075048807
684,"Imperatore et al. (2017), D2","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,235,3,8.8,300,0.44,136.57,4.916837304
685,"Imperatore et al. (2017), D3","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,315,3,10.5,300,0.525,148.63,5.001459996
686,"Imperatore et al. (2017), D4","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,315,3,10.78,300,0.539,146.5,4.987025428
687,"Imperatore et al. (2017), D5","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,315,3,10.8,300,0.54,112.8,4.725616339
688,"Imperatore et al. (2017), D6","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,315,3,10.8,300,0.54,133.38,4.893202197
689,"Imperatore et al. (2017), D7","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,315,3,10.83,300,0.542,144.38,4.972414081
690,"Imperatore et al. (2017), D8","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,375,3,11.4,300,0.57,124.51,4.824386034
691,"Imperatore et al. (2017), D9","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,375,3,12.7,300,0.635,123.46,4.815917217
692,"Imperatore et al. (2017), D10","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,375,3,13.7,300,0.685,118.48,4.77474417
693,"Imperatore et al. (2017), D12","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,18.3,300,0.915,130.19,4.868994922
694,"Imperatore et al. (2017), D13","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,18.8,300,0.94,100.39,4.609062601
695,"Imperatore et al. (2017), D14","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,19.09,300,0.955,126.64,4.841348416
696,"Imperatore et al. (2017), D15","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,19.38,300,0.969,124.16,4.821571056
697,"Imperatore et al. (2017), D16","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,19.79,300,0.99,122.38,4.807130958
698,"Imperatore et al. (2017), D17","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,630,3,23,300,1.15,113.88,4.735145262
699,"Imperatore et al. (2017), D18","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,700,3,27.69,300,1.385,105,4.65396035
700,"Imperatore et al. (2017), D19","Current of 0.1 mA reported, which is equivalent to 2.58 μA/cm2 for a 300 mm bar length. This is too small a current density to achieve the reported mass losses. Assume current density = 100 μA/cm2.",Bare,None,D,Italy,S500C,20,200,IC,External copper plate,Chemical,100,700,3,28.21,300,1.411,97.55,4.580365067
701,"Fernandez and Berrocal (2019), ST1-1",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,129.5,4.863680881
702,"Fernandez and Berrocal (2019), ST1-2",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,130.2,4.86907173
703,"Fernandez and Berrocal (2019), ST1-3",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,142.7,4.960744524
704,"Fernandez and Berrocal (2019), ST1-4",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,144.7,4.974662634
705,"Fernandez and Berrocal (2019), ST1-5",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,125.6,4.833102254
706,"Fernandez and Berrocal (2019), ST1-6",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,124.3,4.822697999
707,"Fernandez and Berrocal (2019), ST1-7",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,122.3,4.806477043
708,"Fernandez and Berrocal (2019), ST1-8",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,125.2,4.829912459
709,"Fernandez and Berrocal (2019), ST1-9",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,141.4,4.951592753
710,"Fernandez and Berrocal (2019), ST1-10",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,141.2,4.950177325
711,"Fernandez and Berrocal (2019), ST1-11",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,147.1,4.991112628
712,"Fernandez and Berrocal (2019), ST1-12",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,141.2,4.950177325
713,"Fernandez and Berrocal (2019), ST1-13",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,132.4,4.885827644
714,"Fernandez and Berrocal (2019), ST1-14",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,142.4,4.958639999
715,"Fernandez and Berrocal (2019), ST1-15",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,132.9,4.889596966
716,"Fernandez and Berrocal (2019), ST1-16",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,138.9,4.93375425
717,"Fernandez and Berrocal (2019), ST1-17",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,142.1,4.956531035
718,"Fernandez and Berrocal (2019), ST1-18",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,139.1,4.935193099
719,"Fernandez and Berrocal (2019), ST1-19",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,139.5,4.938064601
720,"Fernandez and Berrocal (2019), ST1-20",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,142.3,4.957937505
721,"Fernandez and Berrocal (2019), ST1-21",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,145.3,4.978800571
722,"Fernandez and Berrocal (2019), ST1-22",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,145.3,4.978800571
723,"Fernandez and Berrocal (2019), ST1-23",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,136.8,4.918520005
724,"Fernandez and Berrocal (2019), ST1-24",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,130.4,4.870606649
725,"Fernandez and Berrocal (2019), ST1-25",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,146.3,4.985659308
726,"Fernandez and Berrocal (2019), ST1-26",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,135.9,4.911919321
727,"Fernandez and Berrocal (2019), ST1-27",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,135.1,4.906015245
728,"Fernandez and Berrocal (2019), ST1-28",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,130.9,4.874433673
729,"Fernandez and Berrocal (2019), ST1-29",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,125.5,4.832305759
730,"Fernandez and Berrocal (2019), ST1-30",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,150.8,5.015954456
731,"Fernandez and Berrocal (2019), ST1-31",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,141.6,4.953006181
732,"Fernandez and Berrocal (2019), ST1-32",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,148,4.997212274
733,"Fernandez and Berrocal (2019), ST1-33",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,145,4.976733742
734,"Fernandez and Berrocal (2019), ST1-34",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,127,4.844187086
735,"Fernandez and Berrocal (2019), ST1-35",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,130.1,4.868303386
736,"Fernandez and Berrocal (2019), ST1-36",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,128.2,4.853591544
737,"Fernandez and Berrocal (2019), ST1-37",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,137,4.919980926
738,"Fernandez and Berrocal (2019), ST1-38",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,148.8,5.002603122
739,"Fernandez and Berrocal (2019), ST1-39",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,129.3,4.862135286
740,"Fernandez and Berrocal (2019), ST1-40",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,128.2,4.853591544
741,"Fernandez and Berrocal (2019), ST1-41",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,136.4,4.915591745
742,"Fernandez and Berrocal (2019), ST1-42",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,143,4.96284463
743,"Fernandez and Berrocal (2019), ST1-43",Control. 30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,170,Control,Control,N/A,0,0,0,0,0,0,132,4.882801923
744,"Fernandez and Berrocal (2019), ST2-1",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.63,10958,3.5,13.61,400,0.544,115.6,4.750135956
745,"Fernandez and Berrocal (2019), ST2-2",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.69,10958,3.5,14.03,400,0.561,94.2,4.545420182
746,"Fernandez and Berrocal (2019), ST2-3",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.09,10958,3.5,9.21,400,0.368,113.6,4.732683506
747,"Fernandez and Berrocal (2019), ST2-4",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.15,10958,3.5,1.33,400,0.053,122.3,4.806477043
748,"Fernandez and Berrocal (2019), ST2-5",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.78,10958,3.5,6.59,400,0.264,120.7,4.793308128
749,"Fernandez and Berrocal (2019), ST2-6",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.79,10958,3.5,6.73,400,0.269,116.1,4.754451889
750,"Fernandez and Berrocal (2019), ST2-7",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.29,10958,3.5,2.5,400,0.1,122.3,4.806477043
751,"Fernandez and Berrocal (2019), ST2-8",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0,10958,3.5,0,400,0,141.9,4.955122584
752,"Fernandez and Berrocal (2019), ST2-9",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0,10958,3.5,0,400,0,141.7,4.953712147
753,"Fernandez and Berrocal (2019), ST2-10",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0,10958,3.5,0,400,0,137.6,4.924350925
754,"Fernandez and Berrocal (2019), ST2-11",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.58,10958,3.5,4.97,400,0.199,126.3,4.838660029
755,"Fernandez and Berrocal (2019), ST2-12",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.1,10958,3.5,0.89,400,0.036,139.3,4.936629881
756,"Fernandez and Berrocal (2019), ST2-13",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0,10958,3.5,0,400,0,143.6,4.967031657
757,"Fernandez and Berrocal (2019), ST2-14",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.52,10958,3.5,4.41,400,0.176,120.4,4.790819533
758,"Fernandez and Berrocal (2019), ST2-15",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.96,10958,3.5,8.09,400,0.324,110.4,4.704110134
759,"Fernandez and Berrocal (2019), ST2-16",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.63,10958,3.5,13.56,400,0.542,98.4,4.589040804
760,"Fernandez and Berrocal (2019), ST2-17",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.38,10958,3.5,3.28,400,0.131,123.8,4.81866736
761,"Fernandez and Berrocal (2019), ST2-18",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,2.34,10958,3.5,19.21,400,0.768,95.2,4.555979942
762,"Fernandez and Berrocal (2019), ST2-19",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.66,10958,3.5,13.8,400,0.552,105.6,4.659658371
763,"Fernandez and Berrocal (2019), ST2-20",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.84,10958,3.5,15.25,400,0.61,104.5,4.649187071
764,"Fernandez and Berrocal (2019), ST2-21",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.33,10958,3.5,11.11,400,0.444,115.2,4.746669748
765,"Fernandez and Berrocal (2019), ST2-22",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1,10958,3.5,8.45,400,0.338,116.4,4.757032535
766,"Fernandez and Berrocal (2019), ST2-23",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.05,10958,3.5,8.82,400,0.353,112.5,4.722953222
767,"Fernandez and Berrocal (2019), ST2-24",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.63,10958,3.5,5.4,400,0.216,120.3,4.789988623
768,"Fernandez and Berrocal (2019), ST2-25",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0.16,10958,3.5,1.39,400,0.056,134.6,4.902307417
769,"Fernandez and Berrocal (2019), ST2-26",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,1.19,10958,3.5,9.99,400,0.4,117.1,4.763028271
770,"Fernandez and Berrocal (2019), ST2-27",30 year old decommissioned bridge.,Embedded,SLS,D,Sweden,Ks60,16,270,N,Internal carbon steel,Sandblasting,0,10958,3.5,0,400,0,133.8,4.896346148
